Date,Time,Booking Status,Vehicle Type,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method,Day,Time_of_Day,ride_status,payment_status
23-03-2024,01-01-1900 12:29,No Driver Found,eBike,0,0,0,Not Applicable,0,Not Applicable,0,Not Applicable,414,23.72,0,0,Not Completed,Saturday,Afternoon,Incomplete,Unpaid
29-11-2024,01-01-1900 18:01,Incomplete,Go Sedan,4.9,14,0,Not Applicable,0,Not Applicable,1,Vehicle Breakdown,237,5.73,0,0,UPI,Friday,Evening,Incomplete,Paid
23-08-2024,01-01-1900 08:56,Completed,Auto,13.4,25.8,0,Not Applicable,0,Not Applicable,0,Not Applicable,627,13.58,4.9,4.9,Debit Card,Friday,Morning,Completed,Paid
21-10-2024,01-01-1900 17:17,Completed,Premier Sedan,13.1,28.5,0,Not Applicable,0,Not Applicable,0,Not Applicable,416,34.02,4.6,5,UPI,Monday,Afternoon,Completed,Paid
16-09-2024,01-01-1900 22:08,Completed,Bike,5.3,19.6,0,Not Applicable,0,Not Applicable,0,Not Applicable,737,48.21,4.1,4.3,UPI,Monday,Evening,Completed,Paid
06-02-2024,01-01-1900 09:44,Completed,Auto,5.1,18.1,0,Not Applicable,0,Not Applicable,0,Not Applicable,316,4.85,4.1,4.6,UPI,Tuesday,Morning,Completed,Paid
17-06-2024,01-01-1900 15:45,Completed,Go Mini,7.1,20.4,0,Not Applicable,0,Not Applicable,0,Not Applicable,640,41.24,4,4.1,UPI,Monday,Afternoon,Completed,Paid
19-03-2024,01-01-1900 17:37,Completed,Auto,12.1,16.5,0,Not Applicable,0,Not Applicable,0,Not Applicable,136,6.56,4.4,4.2,UPI,Tuesday,Afternoon,Completed,Paid
14-09-2024,01-01-1900 12:49,No Driver Found,Go Sedan,0,0,0,Not Applicable,0,Not Applicable,0,Not Applicable,414,23.72,0,0,Not Completed,Saturday,Afternoon,Incomplete,Unpaid
16-12-2024,01-01-1900 19:06,Incomplete,Auto,6.1,26,0,Not Applicable,0,Not Applicable,1,Other Issue,135,10.36,0,0,Cash,Monday,Evening,Incomplete,Paid
14-06-2024,01-01-1900 16:24,Completed,Auto,7.7,18.9,0,Not Applicable,0,Not Applicable,0,Not Applicable,181,19.84,4.2,4.9,Cash,Friday,Afternoon,Completed,Paid
18-09-2024,01-01-1900 08:09,No Driver Found,Auto,0,0,0,Not Applicable,0,Not Applicable,0,Not Applicable,414,23.72,0,0,Not Completed,Wednesday,Morning,Incomplete,Unpaid
25-06-2024,01-01-1900 22:44,Cancelled by Driver,eBike,4.6,0,0,Not Applicable,1,Personal & Car related issues,0,Not Applicable,414,23.72,0,0,Not Completed,Tuesday,Evening,Cancelled,Unpaid
11-09-2024,01-01-1900 19:29,Completed,Go Mini,12.2,28.2,0,Not Applicable,0,Not Applicable,0,Not Applicable,394,21.44,4.1,4.7,UPI,Wednesday,Evening,Completed,Paid
18-10-2024,01-01-1900 18:28,Completed,Go Mini,14,30.9,0,Not Applicable,0,Not Applicable,0,Not Applicable,836,39.55,4.7,4.4,UPI,Friday,Evening,Completed,Paid
07-06-2024,01-01-1900 15:05,Completed,Auto,8.5,36.9,0,Not Applicable,0,Not Applicable,0,Not Applicable,410,34.76,4,4.9,Uber Wallet,Friday,Afternoon,Completed,Paid
01-07-2024,01-01-1900 10:51,Completed,Premier Sedan,5.6,27.5,0,Not Applicable,0,Not Applicable,0,Not Applicable,401,21.97,4.9,4.3,UPI,Monday,Morning,Completed,Paid
15-12-2024,01-01-1900 15:08,Cancelled by Driver,Go Sedan,6,0,0,Not Applicable,1,Customer related issue,0,Not Applicable,414,23.72,0,0,Not Completed,Sunday,Afternoon,Cancelled,Unpaid
24-11-2024,01-01-1900 09:07,Cancelled by Customer,eBike,12.4,0,1,Driver is not moving towards pickup location,0,Not Applicable,0,Not Applicable,414,23.72,0,0,Not Completed,Sunday,Morning,Cancelled,Unpaid
24-05-2024,01-01-1900 19:53,Cancelled by Driver,eBike,10.3,0,0,Not Applicable,1,Customer related issue,0,Not Applicable,414,23.72,0,0,Not Completed,Friday,Evening,Cancelled,Unpaid
14-12-2024,01-01-1900 21:27,Completed,Go Sedan,6.1,33.7,0,Not Applicable,0,Not Applicable,0,Not Applicable,264,13.64,3.8,4.7,Uber Wallet,Saturday,Evening,Completed,Paid
29-07-2024,01-01-1900 06:28,Completed,Auto,7,21.3,0,Not Applicable,0,Not Applicable,0,Not Applicable,183,4.5,5,4.2,UPI,Monday,Morning,Completed,Paid
23-02-2024,01-01-1900 11:02,Completed,Go Mini,10.4,25.1,0,Not Applicable,0,Not Applicable,0,Not Applicable,713,38.03,3.7,3.6,UPI,Friday,Morning,Completed,Paid
09-03-2024,01-01-1900 20:14,Completed,Go Mini,7.9,41.1,0,Not Applicable,0,Not Applicable,0,Not Applicable,113,14.53,4.6,4.9,UPI,Saturday,Evening,Completed,Paid
28-08-2024,01-01-1900 16:30,Completed,Auto,13.6,25.2,0,Not Applicable,0,Not Applicable,0,Not Applicable,767,7.39,3.8,4.6,Debit Card,Wednesday,Afternoon,Completed,Paid
08-08-2024,01-01-1900 06:34,Completed,Uber XL,5.1,20.7,0,Not Applicable,0,Not Applicable,0,Not Applicable,495,10.23,3.8,4.2,Credit Card,Thursday,Morning,Completed,Paid
26-01-2024,01-01-1900 09:44,Cancelled by Driver,Auto,11.5,0,0,Not Applicable,1,Personal & Car related issues,0,Not Applicable,414,23.72,0,0,Not Completed,Friday,Morning,Cancelled,Unpaid
